name,flag,description,source,header,cfg,is_analysis
BranchFolderPass,-branch-folder,Control Flow Optimizer,lib/CodeGen/BranchFolding.cpp,,False,False
BranchProbabilityInfoWrapperPass,-branch-prob,Branch Probability Analysis,lib/Analysis/BranchProbabilityInfo.cpp,,False,True
BranchRelaxation,-branch-relaxation,Branch relaxation pass,lib/CodeGen/BranchRelaxation.cpp,,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,,False,False
BreakFalseDeps,-break-false-deps,BreakFalseDeps,lib/CodeGen/BreakFalseDeps.cpp,,False,False
CFGOnlyPrinterLegacyPass,-dot-cfg-only,Print CFG of function to 'dot' file (with no function bodies),lib/Analysis/CFGPrinter.cpp,,False,True
CFGOnlyViewerLegacyPass,-view-cfg-only,View CFG of function (with no function bodies),lib/Analysis/CFGPrinter.cpp,,False,True
CFGPrinterLegacyPass,-dot-cfg,Print CFG of function to 'dot' file,lib/Analysis/CFGPrinter.cpp,,False,True
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CFGViewerLegacyPass,-view-cfg,View CFG of function,lib/Analysis/CFGPrinter.cpp,,False,True
CFGuardCheckPass,-CFGuard,CFGuard,lib/Transforms/CFGuard/CFGuard.cpp,,False,False
CFGuardDispatchPass,-CFGuard,CFGuard,lib/Transforms/CFGuard/CFGuard.cpp,,False,False
CFGuardLongjmp,-CFGuardLongjmp,Insert symbols at valid longjmp targets for /guard:cf,lib/CodeGen/CFGuardLongjmp.cpp,,False,False
CFIFixup,-cfi-fixup,Insert CFI remember/restore state instructions,lib/CodeGen/CFIFixup.cpp,,False,False
CFIInstrInserter,-cfi-instr-inserter,Check CFA info and insert CFI instructions if needed,lib/CodeGen/CFIInstrInserter.cpp,,False,False
CSKYConstantIslands,-CSKY-constant-islands,CSKY constant island placement and branch shortening pass,lib/Target/CSKY/CSKYConstantIslandPass.cpp,,False,False
CSKYDAGToDAGISel,-csky-isel,CSKY DAG->DAG Pattern Instruction Selection,lib/Target/CSKY/CSKYISelDAGToDAG.cpp,,False,False
CallGraphDOTPrinter,-dot-callgraph,Print call graph to 'dot' file,lib/Analysis/CallPrinter.cpp,,False,False
CallGraphPrinterLegacyPass,-print-callgraph,Print a call graph,lib/Analysis/CallGraph.cpp,,True,True
CallGraphViewer,-view-callgraph,View call graph,lib/Analysis/CallPrinter.cpp,,False,False
CallGraphWrapperPass,-basiccg,CallGraph Construction,lib/Analysis/CallGraph.cpp,,False,True
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,,False,False
CanonicalizeFreezeInLoops,-canon-freeze,Canonicalize Freeze Instructions in Loops,lib/Transforms/Utils/CanonicalizeFreezeInLoops.cpp,,False,False
CheckDebugMachineModule,-mir-check-debugify,Machine Check Debug Module,lib/CodeGen/MachineCheckDebugify.cpp,,False,False
CodeGenPrepare,-codegenprepare,Optimize for code generation,lib/CodeGen/CodeGenPrepare.cpp,,False,False
ComplexDeinterleavingLegacyPass,-complex-deinterleaving,Complex Deinterleaving,lib/CodeGen/ComplexDeinterleavingPass.cpp,,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,,False,False
